0,1
707.07(j),Action - Formal matter
707.07(j),Action - Formal matter
707.07(j),Action - Formal matter
707.07(j),Action - Formal matter
707.07(j),Action - Formal matter
707.07(e),Action - Formal matter
707.07(a),Action - Formal matter
707.07(a),Action - Formal matter
707,Action - Forms used
707,Action - Forms used
707,Action - Forms used
707,Action - Forms used
707,Action - Forms used
710.06,Action - Incorrect citation of references
702.01,Action - Informal application
702.01,Action - Informal application
702.01,Action - Informal application
707.12,Action - Mailing
707.12,Action - Original in image file wrapper
705.01(c),Action - Patentability report
705,Action - Patentability report
707.07(g),Action - Piecemeal examination
1004,Action - Primary examiner’s personal attention
707.01,Action - Primary examiner’s personal attention
217,"Action - Priority determination, foreign"
217,"Action - Priority determination, foreign"
213,"Action - Priority determination, foreign"
213,"Action - Priority determination, foreign"
210,"Action - Priority determination, foreign"
710.05,Action - Reply time computation
710.01(a),Action - Reply time computation
707.13,Action - Returned
710.02(b),Action - Shortened statutory period
710.02,Action - Shortened statutory period
707.02,Action - SPE’s personal attention
714.05,Action - Supplemental
710.06,Action - Supplemental
709,Action - Suspension of
709,Action - Suspension of
709,Action - Suspension of
709,Action - Suspension of
709,Action - Suspension of
709,Action - Suspension of
709,Action - Suspension of
709,Action - Suspension of
709,Action - Suspension of
1004,"Action - Suspension of, primary examiner’s attention"
1002.02(c),"Action - Suspension of, second or subsequent"
1003,"Action - Suspension of, TC Director’s attention"
707.02,"Action - Third, SPE reviews"
710.02(c),Action - Time limit
710.02,Action - Time limit
711.03(c),"Address, Change of correspondence"
601.03(b),"Address, Change of correspondence"
601.03(a),"Address, Change of correspondence"
2542,"Address, Change of correspondence - After Allowance"
2501,"Address, Change of correspondence - After Allowance"
2542,"Address, Correspondence"
403.01(b),"Address, Correspondence"
403.01(a),"Address, Correspondence"
403,"Address, Correspondence"
403,"Address, Correspondence"
2540,"Address, Fee"
605.01,Address of applicant
502,Address of U.S. Patent and Trademark Office
502,Address of U.S. Patent and Trademark Office
501,Address of U.S. Patent and Trademark Office
501,Address of U.S. Patent and Trademark Office
2805,Address of patent owner
2622,Address of patent owner
2222,Address of patent owner
409.03(e),Address of unavailable inventor
409.01(b),"Administration, Letters of"
409.01,Administrator or executor
409.01(b),Administrator or executor - Allowance and issue
409.01(b),"Administrator or executor - Application by, After discharge"
409.01(b),"Administrator or executor - Assigned application, Inventor dies"
409.01(b),Administrator or executor - Authority
409.01(b),Administrator or executor - Consular certificate
409.01(b),Administrator or executor - Foreign country
409.01(b),Administrator or executor - Heir
409.01(a),Administrator or executor - Heir
409.01,Administrator or executor - Heir
409.01(b),Administrator or executor - Heir - Prosecution by
409.01(a),Administrator or executor - Heir - Prosecution by
409.01(b),Administrator or executor - Intervention not required
409.03(c),Administrator or executor - Refuses to sign
409.03(b),Administrator or executor - Refuses to sign
409.03,Administrator or executor - Refuses to sign
2152.03,Admissions by applicant
2145,Admissions by applicant
2133.03(c),Admissions by applicant
2129,Admissions by applicant
706.02(c),Admissions by applicant
706.02(c),Admissions by applicant
706.02(c),Admissions by applicant
2129,Admissions by applicant - Jepson claim
2258,Admissions in reexamination
2258,Admissions in reexamination
2258,Admissions in reexamination
2217,Admissions in reexamination
2258,Admissions in reexamination
2258,Admissions in reexamination
2258,Admissions in reexamination
2217,Admissions in reexamination
707.07(f),Advantages over prior art
707.07(f),Advantages over prior art
707.07(f),Advantages over prior art
707.07(f),Advantages over prior art
707.07(f),Advantages over prior art
707.07(f),Advantages over prior art
707.07(f),Advantages over prior art
707.07(f),Advantages over prior art
707.07(f),Advantages over prior art
707.07(f),Advantages over prior art
707.07(f),Advantages over prior art
707.07(f),Advantages over prior art
707.07(f),Advantages over prior art
707.07(f),Advantages over prior art
707.07(f),Advantages over prior art
707.07(f),Advantages over prior art
707.07(f),Advantages over prior art
707.07(f),Advantages over prior art
714.19,Adverse recommendation under 37 CFR 1.312
714.16(e),Adverse recommendation under 37 CFR 1.312
714.16(e),Adverse recommendation under 37 CFR 1.312
714.16(d),Adverse recommendation under 37 CFR 1.312
714.16(d),Adverse recommendation under 37 CFR 1.312
714.16(d),Adverse recommendation under 37 CFR 1.312
714.13,Advisory action
714.13,Advisory action
706.07(f),Advisory action
706.07(f),Advisory action
718,"Affidavit, disqualifying commonly owned patent or patent application publication as prior art to overcome a pre-AIA 35 U.S.C. 102 or 103 rejection 37 CFR 1.131"
2155,Affidavit of attribution or prior disclosure to overcome a 35 U.S.C. 102 or 103 rejection 37 CFR 1.130
717.01(f),Affidavit of attribution or prior disclosure to overcome a 35 U.S.C. 102 or 103 rejection 37 CFR 1.130
717.01,Affidavit of attribution or prior disclosure to overcome a 35 U.S.C. 102 or 103 rejection 37 CFR 1.130
717.01,Affidavit of attribution or prior disclosure to overcome a 35 U.S.C. 102 or 103 rejection 37 CFR 1.130
717.01,Affidavit of attribution or prior disclosure to overcome a 35 U.S.C. 102 or 103 rejection 37 CFR 1.130
2155.04,Affidavit of attribution or prior disclosure to overcome a 35 U.S.C. 102 or 103 rejection 37 CFR 1.130 - Enablement
717.01(e),Affidavit of attribution or prior disclosure to overcome a 35 U.S.C. 102 or 103 rejection 37 CFR 1.130 - Evaluation of
717.01(b)(1),Affidavit of attribution or prior disclosure to overcome a 35 U.S.C. 102 or 103 rejection 37 CFR 1.130 - Evaluation of
717.01(a)(1),Affidavit of attribution or prior disclosure to overcome a 35 U.S.C. 102 or 103 rejection 37 CFR 1.130 - Evaluation of
717.01(c),Affidavit of attribution or prior disclosure to overcome a 35 U.S.C. 102 or 103 rejection 37 CFR 1.130 - Formal requirements
2155.01,Affidavit of attribution or prior disclosure to overcome a 35 U.S.C. 102 or 103 rejection 37 CFR 1.130 - Showing Disclosure was made by inventor
717.01(a),Affidavit of attribution or prior disclosure to overcome a 35 U.S.C. 102 or 103 rejection 37 CFR 1.130 - Showing Disclosure was made by inventor
2155.02,Affidavit of attribution or prior disclosure to overcome a 35 U.S.C. 102 or 103 rejection 37 CFR 1.130 - Showing Prior disclosure was subject matter by inventor
717.01(b),Affidavit of attribution or prior disclosure to overcome a 35 U.S.C. 102 or 103 rejection 37 CFR 1.130 - Showing Prior disclosure was subject matter by inventor
2155.03,Affidavit of attribution or prior disclosure to overcome a 35 U.S.C. 102 or 103 rejection 37 CFR 1.130 - Showing disclosure was subject matter obtained from inventor
717.01(b)(2),Affidavit of attribution or prior disclosure to overcome a 35 U.S.C. 102 or 103 rejection 37 CFR 1.130 - Showing disclosure was subject matter obtained from inventor
717.01(f),Affidavit of attribution or prior disclosure to overcome a 35 U.S.C. 102 or 103 rejection 37 CFR 1.130 - Timely presentation
2155.06,Affidavit of attribution or prior disclosure to overcome a 35 U.S.C. 102 or 103 rejection 37 CFR 1.130 - When available
717.01,Affidavit of attribution or prior disclosure to overcome a 35 U.S.C. 102 or 103 rejection 37 CFR 1.130 - When available
717.01,Affidavit of attribution or prior disclosure to overcome a 35 U.S.C. 102 or 103 rejection 37 CFR 1.130 - When available
717.01,Affidavit of attribution or prior disclosure to overcome a 35 U.S.C. 102 or 103 rejection 37 CFR 1.130 - When available
717.01,Affidavit of attribution or prior disclosure to overcome a 35 U.S.C. 102 or 103 rejection 37 CFR 1.130 - When not required
717.01,Affidavit of attribution or prior disclosure to overcome a 35 U.S.C. 102 or 103 rejection 37 CFR 1.130 - When not required
717.01,Affidavit of attribution or prior disclosure to overcome a 35 U.S.C. 102 or 103 rejection 37 CFR 1.130 - When not required
2155.06,Affidavit of attribution or prior disclosure to overcome a 35 U.S.C. 102 or 103 rejection 37 CFR 1.130 - When unavailable
717.01,Affidavit of attribution or prior disclosure to overcome a 35 U.S.C. 102 or 103 rejection 37 CFR 1.130 - When unavailable
717.01,Affidavit of attribution or prior disclosure to overcome a 35 U.S.C. 102 or 103 rejection 37 CFR 1.130 - When unavailable
717.01,Affidavit of attribution or prior disclosure to overcome a 35 U.S.C. 102 or 103 rejection 37 CFR 1.130 - When unavailable
2155.05,Affidavit of attribution or prior disclosure to overcome a 35 U.S.C. 102 or 103 rejection 37 CFR 1.130 - Who may file
717.01(c),Affidavit of attribution or prior disclosure to overcome a 35 U.S.C. 102 or 103 rejection 37 CFR 1.130 - Who may file
2136.05,Affidavit of prior invention to overcome a pre-AIA 35 U.S.C. 102 or 103 rejection 37 CFR 1.131a
2132.01,Affidavit of prior invention to overcome a pre-AIA 35 U.S.C. 102 or 103 rejection 37 CFR 1.131a
715,Affidavit of prior invention to overcome a pre-AIA 35 U.S.C. 102 or 103 rejection 37 CFR 1.131a
715,Affidavit of prior invention to overcome a pre-AIA 35 U.S.C. 102 or 103 rejection 37 CFR 1.131a
715,Affidavit of prior invention to overcome a pre-AIA 35 U.S.C. 102 or 103 rejection 37 CFR 1.131a
715,Affidavit of prior invention to overcome a pre-AIA 35 U.S.C. 102 or 103 rejection 37 CFR 1.131a
715,Affidavit of prior invention to overcome a pre-AIA 35 U.S.C. 102 or 103 rejection 37 CFR 1.131a
715,Affidavit of prior invention to overcome a pre-AIA 35 U.S.C. 102 or 103 rejection 37 CFR 1.131a
715,Affidavit of prior invention to overcome a pre-AIA 35 U.S.C. 102 or 103 rejection 37 CFR 1.131a
715,Affidavit of prior invention to overcome a pre-AIA 35 U.S.C. 102 or 103 rejection 37 CFR 1.131a
715,Affidavit of prior invention to overcome a pre-AIA 35 U.S.C. 102 or 103 rejection 37 CFR 1.131a
715.07(c),"Affidavit of prior invention to overcome a pre-AIA 35 U.S.C. 102 or 103 rejection 37 CFR 1.131a - Acts relied upon, NAFTA/WTO/U.S."
706.02(c)(2),"Affidavit of prior invention to overcome a pre-AIA 35 U.S.C. 102 or 103 rejection 37 CFR 1.131a - Acts relied upon, NAFTA/WTO/U.S."
715.10,"Affidavit of prior invention to overcome a pre-AIA 35 U.S.C. 102 or 103 rejection 37 CFR 1.131a - Best mode, failure to disclose"
715.01(c),Affidavit of prior invention to overcome a pre-AIA 35 U.S.C. 102 or 103 rejection 37 CFR 1.131a - Co-authorship
718,"Affidavit of prior invention to overcome a pre-AIA 35 U.S.C. 102 or 103 rejection 37 CFR 1.131a - Common assignee, reference and application"
715.01(b),"Affidavit of prior invention to overcome a pre-AIA 35 U.S.C. 102 or 103 rejection 37 CFR 1.131a - Common assignee, reference and application"
715.01,Affidavit of prior invention to overcome a pre-AIA 35 U.S.C. 102 or 103 rejection 37 CFR 1.131a - Compared to Rule 1.132 affidavit
715,Affidavit of prior invention to overcome a pre-AIA 35 U.S.C. 102 or 103 rejection 37 CFR 1.131a - Completion of invention
715,Affidavit of prior invention to overcome a pre-AIA 35 U.S.C. 102 or 103 rejection 37 CFR 1.131a - Completion of invention
715,Affidavit of prior invention to overcome a pre-AIA 35 U.S.C. 102 or 103 rejection 37 CFR 1.131a - Completion of invention
715,Affidavit of prior invention to overcome a pre-AIA 35 U.S.C. 102 or 103 rejection 37 CFR 1.131a - Completion of invention
715,Affidavit of prior invention to overcome a pre-AIA 35 U.S.C. 102 or 103 rejection 37 CFR 1.131a - Completion of invention
715,Affidavit of prior invention to overcome a pre-AIA 35 U.S.C. 102 or 103 rejection 37 CFR 1.131a - Completion of invention
715,Affidavit of prior invention to overcome a pre-AIA 35 U.S.C. 102 or 103 rejection 37 CFR 1.131a - Completion of invention
715,Affidavit of prior invention to overcome a pre-AIA 35 U.S.C. 102 or 103 rejection 37 CFR 1.131a - Completion of invention
715,Affidavit of prior invention to overcome a pre-AIA 35 U.S.C. 102 or 103 rejection 37 CFR 1.131a - Completion of invention
201.06(d),Affidavit of prior invention to overcome a pre-AIA 35 U.S.C. 102 or 103 rejection 37 CFR 1.131a - Continuing application
201.06(d),Affidavit of prior invention to overcome a pre-AIA 35 U.S.C. 102 or 103 rejection 37 CFR 1.131a - Continuing application
201.06(d),Affidavit of prior invention to overcome a pre-AIA 35 U.S.C. 102 or 103 rejection 37 CFR 1.131a - Continuing application
201.06(d),Affidavit of prior invention to overcome a pre-AIA 35 U.S.C. 102 or 103 rejection 37 CFR 1.131a - Continuing application
201.06(d),Affidavit of prior invention to overcome a pre-AIA 35 U.S.C. 102 or 103 rejection 37 CFR 1.131a - Continuing application
201.06(d),Affidavit of prior invention to overcome a pre-AIA 35 U.S.C. 102 or 103 rejection 37 CFR 1.131a - Continuing application
201.06(d),Affidavit of prior invention to overcome a pre-AIA 35 U.S.C. 102 or 103 rejection 37 CFR 1.131a - Continuing application
201.06(c),Affidavit of prior invention to overcome a pre-AIA 35 U.S.C. 102 or 103 rejection 37 CFR 1.131a - Continuing application
201.06(c),Affidavit of prior invention to overcome a pre-AIA 35 U.S.C. 102 or 103 rejection 37 CFR 1.131a - Continuing application
201.06(c),Affidavit of prior invention to overcome a pre-AIA 35 U.S.C. 102 or 103 rejection 37 CFR 1.131a - Copies from prior applications
201.06(c),Affidavit of prior invention to overcome a pre-AIA 35 U.S.C. 102 or 103 rejection 37 CFR 1.131a - Copies from prior applications
715,Affidavit of prior invention to overcome a pre-AIA 35 U.S.C. 102 or 103 rejection 37 CFR 1.131a - Dedication to public
715,Affidavit of prior invention to overcome a pre-AIA 35 U.S.C. 102 or 103 rejection 37 CFR 1.131a - Dedication to public
715,Affidavit of prior invention to overcome a pre-AIA 35 U.S.C. 102 or 103 rejection 37 CFR 1.131a - Dedication to public
715,Affidavit of prior invention to overcome a pre-AIA 35 U.S.C. 102 or 103 rejection 37 CFR 1.131a - Dedication to public
715,Affidavit of prior invention to overcome a pre-AIA 35 U.S.C. 102 or 103 rejection 37 CFR 1.131a - Dedication to public
715,Affidavit of prior invention to overcome a pre-AIA 35 U.S.C. 102 or 103 rejection 37 CFR 1.131a - Dedication to public
715,Affidavit of prior invention to overcome a pre-AIA 35 U.S.C. 102 or 103 rejection 37 CFR 1.131a - Dedication to public
715,Affidavit of prior invention to overcome a pre-AIA 35 U.S.C. 102 or 103 rejection 37 CFR 1.131a - Dedication to public
715,Affidavit of prior invention to overcome a pre-AIA 35 U.S.C. 102 or 103 rejection 37 CFR 1.131a - Dedication to public
715.07(c),Affidavit of prior invention to overcome a pre-AIA 35 U.S.C. 102 or 103 rejection 37 CFR 1.131a - Derivation
715,Affidavit of prior invention to overcome a pre-AIA 35 U.S.C. 102 or 103 rejection 37 CFR 1.131a - Effective filing date
715,Affidavit of prior invention to overcome a pre-AIA 35 U.S.C. 102 or 103 rejection 37 CFR 1.131a - Effective filing date
715,Affidavit of prior invention to overcome a pre-AIA 35 U.S.C. 102 or 103 rejection 37 CFR 1.131a - Effective filing date
715,Affidavit of prior invention to overcome a pre-AIA 35 U.S.C. 102 or 103 rejection 37 CFR 1.131a - Effective filing date
715,Affidavit of prior invention to overcome a pre-AIA 35 U.S.C. 102 or 103 rejection 37 CFR 1.131a - Effective filing date
715,Affidavit of prior invention to overcome a pre-AIA 35 U.S.C. 102 or 103 rejection 37 CFR 1.131a - Effective filing date
715,Affidavit of prior invention to overcome a pre-AIA 35 U.S.C. 102 or 103 rejection 37 CFR 1.131a - Effective filing date
715,Affidavit of prior invention to overcome a pre-AIA 35 U.S.C. 102 or 103 rejection 37 CFR 1.131a - Effective filing date
715,Affidavit of prior invention to overcome a pre-AIA 35 U.S.C. 102 or 103 rejection 37 CFR 1.131a - Effective filing date
715.07(d),"Affidavit of prior invention to overcome a pre-AIA 35 U.S.C. 102 or 103 rejection 37 CFR 1.131a - Exhibit, Disposition"
715.04,Affidavit of prior invention to overcome a pre-AIA 35 U.S.C. 102 or 103 rejection 37 CFR 1.131a - Formal requirements
715.07,Affidavit of prior invention to overcome a pre-AIA 35 U.S.C. 102 or 103 rejection 37 CFR 1.131a - Formal requirements - Facts and documentary evidence
715.09,Affidavit of prior invention to overcome a pre-AIA 35 U.S.C. 102 or 103 rejection 37 CFR 1.131a - Formal requirements - Timely presented
715.03,Affidavit of prior invention to overcome a pre-AIA 35 U.S.C. 102 or 103 rejection 37 CFR 1.131a - Genus-species
715.02,Affidavit of prior invention to overcome a pre-AIA 35 U.S.C. 102 or 103 rejection 37 CFR 1.131a - Generic claim
715.07(b),Affidavit of prior invention to overcome a pre-AIA 35 U.S.C. 102 or 103 rejection 37 CFR 1.131a - Interference testimony used
715,Affidavit of prior invention to overcome a pre-AIA 35 U.S.C. 102 or 103 rejection 37 CFR 1.131a - Overcome patent or publication
715,Affidavit of prior invention to overcome a pre-AIA 35 U.S.C. 102 or 103 rejection 37 CFR 1.131a - Overcome patent or publication
715,Affidavit of prior invention to overcome a pre-AIA 35 U.S.C. 102 or 103 rejection 37 CFR 1.131a - Overcome patent or publication
715,Affidavit of prior invention to overcome a pre-AIA 35 U.S.C. 102 or 103 rejection 37 CFR 1.131a - Overcome patent or publication
715,Affidavit of prior invention to overcome a pre-AIA 35 U.S.C. 102 or 103 rejection 37 CFR 1.131a - Overcome patent or publication
715,Affidavit of prior invention to overcome a pre-AIA 35 U.S.C. 102 or 103 rejection 37 CFR 1.131a - Overcome patent or publication
715,Affidavit of prior invention to overcome a pre-AIA 35 U.S.C. 102 or 103 rejection 37 CFR 1.131a - Overcome patent or publication
715,Affidavit of prior invention to overcome a pre-AIA 35 U.S.C. 102 or 103 rejection 37 CFR 1.131a - Overcome patent or publication
715,Affidavit of prior invention to overcome a pre-AIA 35 U.S.C. 102 or 103 rejection 37 CFR 1.131a - Overcome patent or publication
1002.02(c),Affidavit of prior invention to overcome a pre-AIA 35 U.S.C. 102 or 103 rejection 37 CFR 1.131a - Petition regarding sufficiency
715.10,Affidavit of prior invention to overcome a pre-AIA 35 U.S.C. 102 or 103 rejection 37 CFR 1.131a - Prior public use/sale
2138.01,Affidavit of prior invention to overcome a pre-AIA 35 U.S.C. 102 or 103 rejection 37 CFR 1.131a - Priority time charts
715,Affidavit of prior invention to overcome a pre-AIA 35 U.S.C. 102 or 103 rejection 37 CFR 1.131a - Proper use of
715,Affidavit of prior invention to overcome a pre-AIA 35 U.S.C. 102 or 103 rejection 37 CFR 1.131a - Proper use of
715,Affidavit of prior invention to overcome a pre-AIA 35 U.S.C. 102 or 103 rejection 37 CFR 1.131a - Proper use of
715,Affidavit of prior invention to overcome a pre-AIA 35 U.S.C. 102 or 103 rejection 37 CFR 1.131a - Proper use of
715,Affidavit of prior invention to overcome a pre-AIA 35 U.S.C. 102 or 103 rejection 37 CFR 1.131a - Proper use of
715,Affidavit of prior invention to overcome a pre-AIA 35 U.S.C. 102 or 103 rejection 37 CFR 1.131a - Proper use of
715,Affidavit of prior invention to overcome a pre-AIA 35 U.S.C. 102 or 103 rejection 37 CFR 1.131a - Proper use of
715,Affidavit of prior invention to overcome a pre-AIA 35 U.S.C. 102 or 103 rejection 37 CFR 1.131a - Proper use of
715,Affidavit of prior invention to overcome a pre-AIA 35 U.S.C. 102 or 103 rejection 37 CFR 1.131a - Proper use of
2258,"Affidavit of prior invention to overcome a pre-AIA 35 U.S.C. 102 or 103 rejection 37 CFR 1.131a - Reexamination,,"
2258,"Affidavit of prior invention to overcome a pre-AIA 35 U.S.C. 102 or 103 rejection 37 CFR 1.131a - Reexamination,,"
2258,"Affidavit of prior invention to overcome a pre-AIA 35 U.S.C. 102 or 103 rejection 37 CFR 1.131a - Reexamination,,"
2658,"Affidavit of prior invention to overcome a pre-AIA 35 U.S.C. 102 or 103 rejection 37 CFR 1.131a - Reexamination,"
2658,"Affidavit of prior invention to overcome a pre-AIA 35 U.S.C. 102 or 103 rejection 37 CFR 1.131a - Reexamination,"
2658,"Affidavit of prior invention to overcome a pre-AIA 35 U.S.C. 102 or 103 rejection 37 CFR 1.131a - Reexamination,"
