Topic,Subtopic1,Subtopic2,Subtopic3,Subtopic4,SeeAlso,MPEPLink
Design application,Drawing,Color,,,,1503.02; 
Design application,Drawing,Trademarks,,,,1512; 
Design application,EFS-Web,,,,,502.05; 1730; 
Design application,"Embodiments, alternate or multiple",,,,,1503.01; 1504.01(b); 1504.05; 
Design application,Enablement,,,,,1503.02; 1504.04; 
Design application,European Community Design treaty,,,,,1504.10; 
Design application,Examination,,,,,1504; 1504.01; 1504.02; 1504.03; 1504.04; 
Design application,Expedited Examination,,,,,501; 1002.02(c)(3); 1504.30; 
Design application,Expedited Examination,Reissue,,,,1457; 
Design application,Expert testimony,,,,,1504.03; 
Design application,Feature emphasized,,,,,1503.01; 
Design application,"Fee, filing",,,,,607; 
Design application,"Fee, filing",Reissue,,,,1457; 
Design application,"Fee, issue",,,,,1306; 
Design application,"Font, type",,,,,1504.01(a); 
Design application,Foreign priority,,,,,210; 213; 215; 1504.02; 1504.10; 
Design application,Foreign priority,More than six months before U.S. filing,,,,1504.02; 
Design application,Functionality,,,,,1504.01(c); 
Design application,Functionality,Obviousness and,,,,1504.03; 
Design application,Hague Agreement,,,,Treaties; ,213.01; 1504.10; 2901; 
Design application,Hidden end use,,,,,1504.01(c); 
Design application,Hidden feature,,,,,1504.02; 1504.03; 1504.04; 
Design application,"Icon, computer generated",,,,,1504.01(a); 
Design application,International,,,,,
Design application,International,Publication,,,,1120; 
Design application,International,Status Information for,,,,1128; 
Design application,Indefiniteness,,,,,1503.01; 1503.02; 1504.04; 
Design application,Library collections relating to,,,,,901.06(a); 
Design application,"Modification, description",,,,,1503.01; 
Design application,Multiple embodiments,,,,,1504.05; 
Design application,Multiple parts of article,,,,,1504.01(b); 
Design application,New matter,,,,,1503.01; 1503.02; 1504.01(a); 1504.04; 
Design application,"Object, Design for",,,,,1502; 
Design application,Obviousness,,,,,1504.03; 
Design application,Obviousness-type nonstatutory double patenting ODP,,,,,1504.06; 
Design application,Offensive subject matter,,,,,1504.01(e); 
Design application,Ornamentality lacking,,,,,1504.01(c); 
Design application,Patent Cooperation Treaty,,,,,1501; 1502.01; 
Design application,Patentability,,,,,1504.01; 1504.01(a); 1504.01(e); 1504.02; 1504.03; 1504.04; 
Design application,"Petition, Special Status",,,,,708.02; 1504.30; 
Design application,Petition to accept color drawings or photographs,,,,,608.02; 1503.02; 
Design application,Photographs,,,,,1503.02; 1504.04; 
Design application,Preamble,,,,,1503.01; 
Design application,Priority under 35 U.S.C. 119,,,,,210; 215; 1504.02; 1504.10; 
Design application,References supplied,,,,,707.05(a); 1513; 
Design application,Quayle action,,,,,1504; 
Design application,Registration abroad,,,,,1504.02; 1504.10; 
Design application,Reissue,,,,,1457; 1509; 
Design application,Request for Continued Examination RCE,,,,,1502.01; 
Design application,Request for Expedited Examination,,,,,1504.30; 
Design application,Restriction,,,,,1504.05; 
Design application,Restriction,Reissue,,,,1457; 
Design application,Rules applicable,,,,,1501; 
Design application,Scope of claim,,,,,1503.01; 1504.04; 1504.05; 1504.06; 
Design application,Search,,,,,1504; 1504.02; 1504.03; 
Design application,Secondary considerations,,,,,1504.03; 
Design application,Simulation,,,,,1504.01(d); 
Design application,Specification,,,,,1503.01; 
Design application,Specification,Use of Copyrights in,,,,1512; 
Design application,Specification,Use of Trademarks in,,,,1512; 
Design application,Statutory subject matter,,,,,1502; 1504.01; 
Design application,Surface ornamentation,,,,,1502; 1502.01; 1503.02; 1504.01; 1504.01(a); 1504.01(c); 1504.03; 
Design application,Surface treatment or indicia,,,,,1503.02; 
Design application,Term of,,,,,1457; 1502.01; 1505; 
Design application,Title,,,,,1503.01; 1504.01(a); 
Design application,Title,Amendment of,,,,1503.01; 
Design application,Title,Use of Trademarks in,,,,1512; 
Design application,"Trademark, relationship to",,,,,1512; 
Design application,Type fonts,,,,,1504.01(a); 
Design application,"Utility patent, relationship to",,,,,1502.01; 
Design application,Visual characteristics,,,,,1502; 
Design application,Written description lacking,,,,,1503.01; 1503.02; 1504.01(a); 1504.04; 
Design patent series,,,,,Patent; ,901.04; 
Designated office,,,,,,1801; 1803; 1893.01(a); 
Designation of states,,,,,,1821; 
Detailed description,,,,,Specification; ,
Determination of public use or on sale,,,,,,706.02(c); 2133.03; 2133.03(e)(7); 2152.02(c); 2152.02(d); 
Determining if a Reexamination Was Filed for a Patent,,,,,,2632.01; 
Determining whether an application is subject to first to invent provisions of AIA,,,,,,2159; 
Digest,,,,,,
Dictionary as a source for the ordinary and customary meaning of a claim term,,,,,,2111.01; 2173.02; 2173.05(a); 
Diligence,,,,,,
Diligence,Charts for priority,,,,,2138.01; 
Diligence,Filing application,,,,,2138.06; 
Diligence,Filing reissue,,,,,1403; 
Diligence,Interference practice,,,,,2138.01; 
Diligence,Of actions during regulatory review,,,,,2757.01; 
Diligence,Reasonable,,,,,2138.03; 2138.06; 
Diligence,Shown in 37 CFR 1.131 affidavit,,,,,715.07; 715.07(a); 
Diligence,To overcome a rejection,,,,,2136.05; 
Director of Technology Center,,,,,,714.13; 714.14; 714.16; 714.25; 715.08; 804.04; 1002.02; 1002.02(c); 1207.01; 1207.02; 1207.03; 1207.05; 1208; 1214.04; 1308; 1308.01; 1901.06; 2242; 2258.01; 2265; 2267; 2274; 2284; 2286; 2648; 2667; 2682; 2686.01; 
Director of Technology Center,Functions,,,,,1002.02(c); 1003; 
Director of Technology Center,TC 1600,,,,,1002.02(c)(2); 
Director of Technology Center,TC 2900,,,,,1002.02(c)(3); 
Director of Technology Center,TC 3640,,,,,710; 1002.02(c)(1); 
Director of the USPTO,,,,,,
Director of the USPTO,Authority and functions,,,,,706.03(b); 708.01; 709; 711.02; 714; 719.01; 1001; 1002; 2209; 2212; 2239; 2240; 2242; 2244; 2246; 2258.01; 2258.02; 2265; 2266; 2284; 2286.01; 
Director of the USPTO,Authority and functions,Publication of confidential decisions,,,,103; 
Director of the USPTO,Authority and functions,Withdrawal from issue,,,,1308; 
Director of the USPTO,Decisions,,,,,; 
Director of the USPTO,Mailing address,,,,,501; 
Director of the USPTO,Notices,,,,Publication; ,; 707.06; 
Director of the USPTO,Orders,,,,Publication; ,; 707.06; 
Director initiated reexamination,,,,,,2212; 2239; 
Disbarred attorney,,,,,Attorney or agent: Suspended or excluded; ,
Disciplinary proceedings,,,,,,402; 410; 
Disciplinary proceedings,Mailing address,,,,,501; 
Disclaimer,,,,,Terminal disclaimer; ,
Disclaimer,Co-author of publication,,,,,715.01(c); 
Disclaimer,Copy required in reexamination,,,,,
Disclaimer,Copy required in reexamination,,,,,2214; 
Disclaimer,Correction or withdrawal of,,,,,1490; 
Disclaimer,Defensive publication,,,,,711.06; 
Disclaimer,Design application,,,,,1503.01; 1503.02; 1504.04; 
Disclaimer,Effect,,,,,1490; 
Disclaimer,Forms,,,,,1490; 
Disclaimer,Processing,,,,,1490; 
Disclaimer,Rejection,,,,,706.02(k); 710.02(d); 
Disclaimer,Requirements,,,,,1490; 
Disclaimer,Statutory,,,,,1490; 
Disclaimer,Terminal,,,,,706.02(k); 804; 804.02; 1490; 
Disclosure,,,,,Duty of disclosure; Specification; ,
Disclosure,Abstract,,,,,608.01(b); 
Disclosure,Amendment,,,,,608.04; 1302.02; 
Disclosure,"Amendment, Preliminary",,,,,608.04(b); 
Disclosure,Best Mode,,,,Best Mode; ,608.01(h); 2165; 
Disclosure,Chemical compound,,,,,608.01(p); 
Disclosure,Claim Present on Filing Date,,,,,608.01(l); 1410; 2163.01; 
Disclosure,Claimed,,,,,901.03; 
Disclosure,"Common, parent and continuing applications",,,,,211.05; 
Disclosure,Completeness,,,,,608.01(p); 2163; 2164; 
Disclosure,Computer programming cases,,,,,2164.06(c); 2161.01; 
Disclosure,Correspondence with claims,,,,,2163.05; 2163.07; 2173.03; 
Disclosure,Design application,,,,,1503; 1503.01; 
Disclosure,Detailed description,,,,,608.01(g); 
Disclosure,Duty of,,,,,2000; 
Disclosure,Enablement,,,,Enablement; ,2164; 
Disclosure,Foreign application,,,,,211.05; 
Disclosure,Implicit,,,,,2144.01; 
Disclosure,Incomplete,,,,,608.01(p); 706.03(d); 2161; 2165; 
Disclosure,Incomprehensible,,,,,702.01; 
Disclosure,Incorporation by reference,,,,Incorporation by reference; ,217; 608.01(p); 
Disclosure,Insufficient,,,,,608.01(p); 702.01; 706.03(d); 
Disclosure,Later filed application,,,,,608.01(p); 
Disclosure,Operability,,,,,716.07; 2164.08(b); 
Disclosure,Preliminary amendment,,,,,608.04(b); 
Disclosure,Related applications,,,,,608.01(p); 1302.04; 
Disclosure,Requirements for,,,,,2161; 
Disclosure,Reservation clause,,,,,608.01(e); 
Disclosure,"Secrecy order, Material subject to",,,,,120; 
Disclosure,Specification,,,,Specification; ,608.01; 
Disclosure,Sufficiency for continuity,,,,,211.05; 
Disclosure,Sufficiency of,,,,,716; 716.09; 
Disclosure,Support for claims,,,,,2163.01; 
Disclosure,Trade name,,,,,608.01(v); 
Disclosure,Trademark,,,,,608.01(v); 
Disclosure,Utility,,,,,608.01(p); 706.03(a); 
Disclosure,Written,,,,Written description; ,2163; 
Discourtesy,,,,,,714.19; 714.25; 
Dismissal of appeal,,,,,,1215.04; 
Disposals counted,,,,,,1705; 
"Distinct, definition",,,,,,802.01; 
Distinct inventions,,,,,,802; 802.01; 803; 806.05; 
Distinct inventions,Apparatus and product made,,,,,806.05(g); 
Distinct inventions,Distinct processes,,,,,806.05(j); 
Distinct inventions,Distinct products,,,,,806.05(j); 
Distinct inventions,Process and apparatus for its practice,,,,,806.05(e); 
Distinct inventions,Process and product made,,,,,806.05(f); 
Divisional application,,,,,,201.06; 601.01(a); 
Divisional application,Abandonment of prior nonprovisional application,,,,,201.06(c); 
Divisional application,Assignment carried from parent application,,,,,306; 
Divisional application,Change of attorney/correspondence address,,,,,201.06(c); 
Divisional application,Continued prosecution application CPA,,,,,201.06(d); 
Divisional application,Copendency,,,,,211.01(b); 
Divisional application,Design application,,,,,201.06; 1504.20; 
Divisional application,"Drawing, Transfer of",,,,,608.02(i); 
Divisional application,Effective date,,,,,211; 
Divisional application,Examination,,,,,201.06(c); 
Divisional application,Extensions of time,,,,,201.06(c); 
Divisional application,Filed by assignee,,,,,324; 325; 
Divisional application,File wrapper continuation FWC,,,,,201.06(b); 
Divisional application,File wrapper/history notation,,,,,202; 1302.04; 
Divisional application,Incorporation by reference,,,,,201.06(c); 
Divisional application,Inspection of parent application,,,,,103; 
Divisional application,"Inventor, at least one in common",,,,,211.01; 
Divisional application,Inventorship,,,,,201.06(c); 
Divisional application,New matter,,,,,201.06; 
Divisional application,Oath,,,,,201.06(c); 602.05; 
Divisional application,"Patented, Opens parent application to inspection",,,,,103; 
Divisional application,Reference to parent application,,,,,211.02; 1302.04; 
Divisional application,Reissue,,,,,1402; 1414; 1441; 1450; 1451; 1460; 1481.03; 
Divisional application,Rule 1.53b,,,,,201.06(c); 
Divisional application,Rule 1.53d,,,,,201.06(d); 
Divisional application,"Rule 1.60, Former",,,,,201.06(a); 
Divisional application,"Rule 1.62, Former",,,,,201.06(b); 
Divisional application,Signature,,,,,201.06(d); 
Divisional application,Small or micro entity status,,,,,201.06(c); 
Divisional application,Specification and drawings,,,,,201.06(c); 
Divisional application,Substitute statement under 37 CFR 1.64,,,,,201.06(c); 
Divisional application,Time for filing,,,,,211.03; 
Divisional application,Written description requirement,,,,,211.05; 
DNA,,,,,Biotechnology; Nucleotide sequences; ,2400; 
DNA,Enablement,,,,,2164.08; 
DNA,Searching,,,,,901.06(a); 
DNA,Sequence listing,,,,,2422; 2424; 2431; 
Docket report,,,,,,1704; 
Doctrine of collateral estoppel,,,,,Estoppel; ,
Doctrine of dedication to the public,,,,,,715; 
Doctrine of equivalents,,,,,,2138.05; 2173.05(b); 2186; 
Doctrine of segregable parts,,,,,,1504.05; 
Doctrine of unclean hands,,,,,,2010; 
"Document, Disclosure",,,,,,
"Document, Disclosure",Electronic,,,,Electronic publications; ,707.05(e); 
DoD Directive 5230.25,,,,,,120; 
DoD Security Agreement,,,,,,120; 
Domestic benefit,,,,,,
Domestic benefit,Claiming in continued prosecution application,,,,,201.06(d); 1302.04; 
Domestic benefit,Claiming in,,,,,2258.02; 
Domestic benefit,Claiming in,,,,,2658; 
Domestic benefit,Claiming in reissue application,,,,,1402; 1405; 
Domestic benefit,Entitlement to,,,,,211.05; 
Domestic benefit,Formal requirements,,,,,210; 211.05; 706.02(f)(1); 
Domestic benefit,Incorporation by reference to earlier application,,,,,201.06(c); 217; 608.01(p); 
Domestic benefit,International application,,,,,211.01(c); 211.01(d); 
Domestic benefit,International application,Corrected by certificate of correction,,,,1481; 
Domestic benefit,Patent printing,,,,,1302.09; 
Domestic benefit,Petition for unintentionally delayed claim to benefit of prior U.S. application,,,,,211.04; 214.02; 
Domestic benefit,Prior to U.S. application,,,,,211; 211.05; 
Domestic benefit,Prior to U.S. application,Corrected by Certificate of Correction,,,,211.02(a); 1481; 
Domestic benefit,Prior to U.S. application,Design application,,,,1504.20; 
Domestic benefit,Prior to U.S. application,In,,,,2258.02; 
Domestic benefit,Prior to U.S. application,In,,,,2658; 
Domestic benefit,Prior to U.S. application,Provisional application,,,,211.01(a); 706.02; 
Domestic benefit,Time for filing,,,,,211.03; 
Domestic representative,,,,,,302.04; 
Double correspondence,,,,,,403; 
Double inclusion in claim,,,,,,2173.05(o); 
Double patenting,,,,,,800; 
Double patenting,Avoiding rejection,,,,,706.02(k); 706.02(l)(3); 804.02; 
Double patenting,Basis,,,,,804; 
Double patenting,Between one or more applications and a published application that has not been abandoned,,,,,804; 
Double patenting,Claimed subject matter,,,,,806.01; 
Double patenting,"Commonly owned cases, treatment",,,,,717.02(c); 804.03; 
Double patenting,Copending applications,,,,,706.02(k); 804; 
Double patenting,Definition,,,,,804; 
Double patenting,Design applications/patents,,,,,804; 1504.06; 
Double patenting,Different inventive entities,,,,,706.02(k); 804.03; 
Double patenting,Distinct and independent inventions,,,,,804.01; 
Double patenting,Domination,,,,,804; 
Double patenting,International applications,,,,,804; 
Double patenting,Obviousness type ODP,,,,,804; 
Double patenting,Obviousness type ODP,Design application,,,,1504.06; 
Double patenting,Plant applications,,,,,1601; 
Double patenting,Reexamination,,,,,804; 2217; 2258; 
Double patenting,Rejection,,,,,804; 
Double patenting,Rejection,Nonstatutory,,,,804; 
Double patenting,Rejection,Obvious,,,,804; 
Double patenting,Rejection,"Prohibition, 35 U.S.C. 121",,,,804.01; 821.04(b); 
Double patenting,Rejection,Provisional,,,,706.02(k); 706.02(l)(3); 804; 
Double patenting,Rejection,"Specification, use of",,,,804; 
Double patenting,Rejection,Statutory,,,,804; 804.03; 
Double patenting,Rejection nullification,,,,,804.01; 
Double patenting,Restriction previously required,,,,,804.04; 1003; 
Double patenting,Same assignee,,,,,706.02(k); 804.03; 822; 
Double patenting,Same inventor,,,,,806.04(h); 806.04(i); 806.05; 822; 
Double patenting,Species and genus,,,,,806.04(h); 806.04(i); 
Double patenting,Subject matter not patentably distinct,,,,,804; 
Double patenting,Subject to joint research agreement,,,,,804; 804.02; 804.03; 
Double patenting,Submissions to TC director,,,,,804.04; 
Double patenting,Terminal disclaimer effect,,,,,706.02(k); 804; 804.02; 1451; 1490; 
Double patenting,Terminal disclaimer effect,In a reissue application,,,,1451; 
Drawings,,,,,,507; 608.02; 
Drawings,Amendment,,,,,608.02(p); 714; 1302.04; 
Drawings,Amendment,In,,,,2250.01; 
Drawings,Amendment,In,,,,2666.02; 
Drawings,Amendment,In reissue application,,,,1413; 1453; 
Drawings,Amendment,Prior to publication of PG-Pub,,,,1121; 
Drawings,"Amendment, Disposition of orders for",,,,,608.02(x); 
