Topic,Subtopic1,Subtopic2,Subtopic3,Subtopic4,SeeAlso,MPEPLink
Transitional phrases,,,,,,2111.03; 
Transitional phrases,“Characterized by”,,,,,2111.03; 
Transitional phrases,“Composed of”,,,,,2111.03; 
Transitional phrases,“Comprising”,,,,,2111.03; 2173.05(h); 
Transitional phrases,“Consisting essentially of”,,,,,2111.03; 
Transitional phrases,“Consisting of”,,,,,2111.03; 2173.05(h); 
Transitional phrases,“Containing”,,,,,2111.03; 
"Translation, foreign application or foreign priority document",,,,,,214; 215; 216; 
Translations index in STIC,,,,,,901.06(a); 
Translators in the U.S. Patent and Trademark Office,,,,,,901.05(d); 901.06(a); 
"Transmission, certificate of",,,,,Certificate of mailing or transmission (37 CFR 1.8); ,
"Transmittal Fee, PCT",,,,,,1827; 
"Traverse, answer all matters",,,,,,707.07(f); 
"Traverse, division or species requirement",,,,,,818; 821.01; 821.02; 
"Traverse, rejection of linking claim",,,,,,818.01(d); 
Treaties,,,,,,
Treaties,Benelux Designs Convention,,,,Design application; ,213.01; 1504.10; 
Treaties,Budapest Treaty,,,,Biotechnology; Microorganisms; ,901.05(b); 2402; 2404.01; 2405; 2407.05; 2408; 2409; 2410.01; 2410.02; 2411.01; 
Treaties,European Community Design,,,,,1504.10; 
Treaties,European Patent Convention,,,,,901.05; 
Treaties,GATT,,,,,2138.02; 
Treaties,Hague Agreement,,,,Design application; ,213.01; 1504.10; 2901; 
Treaties,Hague Convention,,,,,409.01(b); 602.04(a); 
Treaties,NAFTA,,,,,201.04; 715; 715.07(c); 2132; 2138.02; 
Treaties,Paris Convention,,,,,213; 1502.01; 
Treaties,Patent Cooperation Treaty PCT,,,,,1502.01; 1800; AI; T; 
Treaties,Patent Law,,,,,702; 
Treaties,Strasbourg Agreement,,,,,906; 
Treaties,UPOV Convention,,,,Plant patent; ,1612; 1613; 
Treaties,Uruguay Round Agreements Act URAA,,,,,201.04; 715; 715.07(c); 2701; 2132; 
"Trial Proceedings, Duty to disclose",,,,,,2001.06(c); 
TRIPS Agreement Trade-Related Aspects of Intellectual Property,,,,,,1801; 
Tubers,,,,,,1601; 
Twenty year term,,,,,"Term, Patent; ",
Two month delay period in reissues,,,,,,1441; 
Two periods for reply running,,,,,,710.04; 
Type font,,,,,,608.01; 1504.01(a); 
