Category,Code,Title,Update,Notes,File Name
Petitions,SB/64a,Petition for Revival of an Application for Patent Abandoned for Failure to Notify the Office of a Foreign or International Filing (37 CFR 1.137(f)) ,01/2018,Note: A Petition for Revival of an Application for Patent Abandoned for Failure to Notify the Office of a Foreign or International Filing may alternatively be filed as a Web-based ePetition.,SB64a - Petition for Revival of an Application for Patent Abandoned for Failure to Notify the Office of a Foreign or International Filing 37 CFR 1_137f.pdf
Petitions,SB/445,Petition to Accept an Unintentionally Delayed Claim Under 35 U.S.C. 119(e) for the Benefit of a Prior-Filed Provisional Application (37 CFR 1.78(c)),05/2018,,SB445 - Petition to Accept an Unintentionally Delayed Claim Under 35 USC 119e for the Benefit of a Prior Filed Provisional Application 37 CFR 1_78c.pdf
Petitions,SB/66-EFS-Web,Petition to Accept Unintentionally Delayed Payment of Maintenance Fee in an Expired Patent (37 CFR 1.378(b)),02/2018,"Note: Effective Feb 1, 2018, this PDF-based EFS-Web Auto-Process option has been retired. Please use the Web-based ePetition option to secure filing with Auto-Processing. Alternatively, the standard SB/66 PDF (available directly below) may be used, but it will be processed by the Office of Petitions (no Auto-Processing). ",This form must be filed via EFS-Web. Form Not Accessible via Chrome
Petitions,SB/66,Petition to Accept Unintentionally Delayed Payment of Maintenance Fee in an Expired Patent (37 CFR 1.378(b)),12/2018,Use of this form is for processing by the Office of Petitions.,SB66 - Petition to Accept Unintentionally Delayed Payment of Maintenance Fee in an Expired Patent 37 CFR 1_378b.pdf
Petitions,SB/130,Petition to Make Special Based on Age,01/2019,Recommended: Web-based ePetition (available for both Registered and Unregistered eFilers) Alternative: Fillable PDF ,SB130 - Petition to Make Special Based on Age.pdf
Petitions,SB/28,Petition to Make Special Under Accelerated Examination Program,07/2009,,This form must be filed via EFS-Web. Form Not Accessible via Chrome
Petitions,SB/437,Petition to Make Special Under the Expanded Collaborative Search Pilot Program,07/2019,,SB437 - Petition to Make Special Under the Expanded Collaborative Search Pilot Program.pdf
Petitions,AIA/83,Request for Withdrawal as Attorney or Agent and Change of Correspondence Address,04/2013,Note: A Request for Withdrawal As Attorney or Agent may alternatively be filed as a Web-based ePetition.,AIA83 - Request for Withdrawal as Attorney or Agent and Change of Correspondence Address.pdf
Pilot Programs,SB/443,Certification and Petition to Make Special under the Cancer Immunotherapy Pilot Program,06/2016,,SB443 - Certification and Petition to Make Special under the Cancer Immunotherapy Pilot Program.pdf
Pilot Programs,SB/09,Certification and Request for Consideration of an Information Disclosure Statement Filed After Payment of the Issue Fee Under the QPIDS Pilot Program,12/2016,,SB09 - Certification and Request for Consideration of an Information Disclosure Statement Filed After Payment of the Issue Fee Under the QPIDS Pilot Program.pdf
Pilot Programs,SB/434,Certification and Request for Consideration under the After Final Consideration Pilot Program 2.0,05/2013,,SB434 - Certification and Request for Consideration under the After Final Consideration Pilot Program 2_0.pdf
Pilot Programs,SB/437,Petition to Make Special Under the Expanded Collaborative Search Pilot Program,07/2019,,SB437 - Petition to Make Special Under the Expanded Collaborative Search Pilot Program.pdf
Pilot Programs,SB/413c,Request for First Action Interview (Full Pilot Program),05/2011,,SB413c - Request for First Action Interview Full Pilot Program.pdf
Power of Attorney and Change of Correspondence Address,AIA/80,Power Of Attorney To Prosecute Applications Before The USPTO,07/2017,,AIA80 - Power Of Attorney To Prosecute Applications Before The USPTO.pdf
Power of Attorney and Change of Correspondence Address,AIA/81,Power Of Attorney To One Or More Of The Joint Inventors And Change Of Correspondence Address,07/2012,,AIA81 - Power Of Attorney To One Or More Of The Joint Inventors And Change Of Correspondence Address.pdf
Power of Attorney and Change of Correspondence Address,AIA/81A,Patent – Power of Attorney or Revocation of Power of Attorney With a New Power of Attorney and Change of Correspondence Address,02/2015,,AIA81A - Patent – Power of Attorney or Revocation of Power of Attorney With a New Power of Attorney and Change of Correspondence Address.pdf
Power of Attorney and Change of Correspondence Address,AIA/81B,Reexamination or Supplemental Examination - Patent Owner Power of Attorney or Revocation of Power of Attorney With a New Power Of Attorney and Change of Correspondence Address for Reexamination or Supplemental Examination and Patent,07/2013,,AIA81B - Reexamination or Supplemental Examination - Patent Owner Power of Attorney or Revocation of Power of Attorney With a New Power Of Attorney and Change of Correspondence Address for Reexamination or Supplemental Examination and Patent.pdf
Power of Attorney and Change of Correspondence Address,SB/81C,Reexamination - Third Party Requester Power of Attorney of Revocation of Power of Attorney With a New Power of Attorney and Change of Correspondence Address,12/2008,,SB81C - Reexamination - Third Party Requester Power of Attorney of Revocation of Power of Attorney With a New Power of Attorney and Change of Correspondence Address.pdf
Power of Attorney and Change of Correspondence Address,AIA/82,Transmittal For Power of Attorney To One Or More Registered Practitioners/Power Of Attorney By Applicant,07/2013,,AIA82 - Transmittal For Power of Attorney To One Or More Registered Practitioners_Power Of Attorney By Applicant.pdf
Power of Attorney and Change of Correspondence Address,AIA/82 Translations,Non-English language Translations of Transmittal For Power of Attorney To One Or More Registered Practitioners/Power Of Attorney By Applicant,07/2013,,AIA82 - Non-English language Translations of Transmittal For Power of Attorney To One Or More Registered Practitioners_Power Of Attorney By Applicant.pdf
Power of Attorney and Change of Correspondence Address,AIA/122,Change of Correspondence Address Application,06/2015,,AIA122 - Change of Correspondence Address Application.pdf
Power of Attorney and Change of Correspondence Address,AIA/123,Change of Correspondence Address Patent,06/2015,,AIA123 - Change of Correspondence Address Patent.pdf
Prioritized Examination,AIA/424,Certification and Request for Prioritized Examination Under 37 CFR 1.102(e),04/2014,,AIA424 - Certification and Request for Prioritized Examination Under 37 CFR 1_102e.pdf
Priority Document Exchange,SB/38,Request to Retrieve Electronic Priority Application(s),02/2020,,SB38 - Request to Retrieve Electronic Priority Applications.pdf
Priority Document Exchange,SB/39,Authorization or Rescission of Authorization to Permit Access to Application-As-Filed by Participating Offices,11/2015,,SB39 - Authorization or Rescission of Authorization to Permit Access to Application-As-Filed by Participating Offices.pdf
Provisional Patent Application,SB/16-EFS-Web,Provisional Application for Patent Cover Sheet - EFS-Web auto-load version,02/2015,This EFS-Web version of the SB/16 is the RECOMMENDED version,This form must be filed via EFS-Web. Form Not Accessible via Chrome
Provisional Patent Application,SB/16,Provisional Application for Patent Cover Sheet,10/2018,,SB16 - Provisional Application for Patent Cover Sheet.pdf
Reexamination,SB/57,Request for Ex Parte Reexamination Transmittal Form,01/2018,,SB57 - Request for Ex Parte Reexamination Transmittal Form.pdf
Reissue Application,AIA/53,Reissue Application: Consent of Assignee; Statement of Non-Assignment,09/2012,,AIA53 - Reissue Application Consent of Assignee_ Statement of Non-Assignment.pdf
Request for Continued Examination (RCE),SB/30 EFS-WEB,Request for Continued Examination (RCE) Transmittal,02/2018,This EFS-Web version of the SB/30 is the RECOMMENDED version.,This form must be filed via EFS-Web. Form Not Accessible via Chrome
Request for Continued Examination (RCE),SB/30,Request for Continued Examination (RCE) Transmittal,11/2017,,SB30 - Request for Continued Examination RCE Transmittal.pdf
Requests Related to Inventorship and Applicant,AIA/40,"Request for Correction in a Patent Application Relating to Inventorship or an Inventor Name, or Order of Names, Other than in a Reissue Application (37 CFR 1.48)",04/2015,,AIA40 - Request for Correction in a Patent Application Relating to Inventorship or an Inventor Name or Order of Names Other than in a Reissue Application 37 CFR 1_48.pdf
Requests Related to Inventorship and Applicant,AIA/41,"Request to Correct or Update the Name of the Applicant Under 37 CFR 1.46(c)(1), or Change the Applicant Under 37 CFR 1.46(c)(2)",04/2015,,AIA41 - Request to Correct or Update the Name of the Applicant Under 37 CFR 1_46c1 or Change the Applicant Under 37 CFR 1_46c2.pdf
Statement Under 37 CFR 3.73(c),AIA/96,Statement Under 37 CFR 3.73(c),08/2012,,AIA96 - Statement Under 37 CFR 3_73c.pdf
Supplemental Examination,SB/59,Request For Supplemental Examination Transmittal Form,09/2016,,SB59 - Request For Supplemental Examination Transmittal Form.pdf
Terminal Disclaimer,AIA/25,"Terminal Disclaimer to Obviate a Provisional Double Patenting Rejection Over a Pending ""Reference"" Application",04/2013,For filing in a patent application,AIA25 - Terminal Disclaimer to Obviate a Provisional Double Patenting Rejection Over a Pending Reference Application.pdf
Terminal Disclaimer,AIA/26,"Terminal Disclaimer to Obviate a Double Patenting Rejection Over a ""Prior"" Patent",04/2014,For filing in a patent application,AIA26 - Terminal Disclaimer to Obviate a Double Patenting Rejection Over a Prior Patent.pdf
Terminal Disclaimer,AIA/63,"Terminal Disclaimer to Accompany Petition under 37 CFR 1.137 in a Design Application Filed on or after September 16, 2012",07/2016,For filing in a patent application,AIA63 - Terminal Disclaimer to Accompany Petition under 37 CFR 1_137 in a Design Application Filed on or after September 16 2012.pdf
Terminal Disclaimer,SB/25a,Terminal Disclaimer in a Patent or Proceeding in view of an Application,02/2014,For filing in an issued patent,SB25a - Terminal Disclaimer in a Patent or Proceeding in view of an Application.pdf
Terminal Disclaimer,SB/26a,Terminal Disclaimer in a Patent or Proceeding in view of Another Patent,02/2014,For filing in an issued patent,SB26a - Terminal Disclaimer in a Patent or Proceeding in view of Another Patent.pdf
Third-Party Submissions,SB/429,Third-Party Submission Under 37 CFR 1.290,06/2015,,SB429 - Third-Party Submission Under 37 CFR 1_290.pdf
Transmittals and Cover Sheets,AIA/15,Utility Patent Application Transmittal,10/2017,,AIA15 - Utility Patent Application Transmittal.pdf
Transmittals and Cover Sheets,SB/16-EFS-Web,Provisional Application for Patent Cover Sheet - EFS-Web auto-load version,02/2018,This EFS-Web version of the SB/16 is the RECOMMENDED version.,This form must be filed via EFS-Web. Form Not Accessible via Chrome
Transmittals and Cover Sheets,SB/16,Provisional Application for Patent Cover Sheet,10/2018,already exists,SB16 - Provisional Application for Patent Cover Sheet.pdf
Transmittals and Cover Sheets,AIA/18,Design Patent Application Transmittal,10/2017,,AIA18 - Design Patent Application Transmittal.pdf
Transmittals and Cover Sheets,AIA/19,Plant Patent Application Transmittal,10/2017,,AIA19 - Plant Patent Application Transmittal.pdf
Transmittals and Cover Sheets,SB/21,Transmittal Form,07/2009,,SB21 - Transmittal Form.pdf
Transmittals and Cover Sheets,SB/29,For Design Applications Only: Continued Prosecution Application (CPA) Request Transmittal,11/2017,,SB29 - For Design Applications Only Continued Prosecution Application CPA Request Transmittal.pdf
Transmittals and Cover Sheets,AIA/50,Reissue Patent Application Transmittal,10/2017,,AIA50 - Reissue Patent Application Transmittal.pdf
Transmittals and Cover Sheets,PTO-1595,Recordation Form Cover Sheet - Patents Only,06/2012,,PTO1595 - Recordation Form Cover Sheet - Patents Only.pdf
Miscellaneous Forms,SB/44,Certificate of Correction,09/2007,,SB44 - Certificate of Correction.pdf
Miscellaneous Forms,AIA/67,"Power to Inspect/Copy - For Applications Filed on or after September 16, 2012",11/2015,,AIA67 - Power to Inspect_Copy - For Applications Filed on or after September 16 2012
Miscellaneous Forms,SB/68,Request for Access to an Abandoned Application Under 37 CFR 1.14,10/2014,,SB68 - Request for Access to an Abandoned Application Under 37 CFR 1_14.pdf
Miscellaneous Forms,SB/69,Authorization or Rescission of Authorization to Permit Access to Search Results by the European Patent Office (EPO),11/2015,,SB69 - Authorization or Rescission of Authorization to Permit Access to Search Results by the European Patent Office EPO.pdf
Miscellaneous Forms,SB/93,Request for a Transfer of a Computer Readable Form,11/2014,,SB93 - Request for a Transfer of a Computer Readable Form.pdf
Miscellaneous Forms,SB/134,Request for Recalculation of Patent Term Adjustment in view of Safe Harbor Statement Under 37 CFR 1.704(d),05/2018,,SB134 - Request for Recalculation of Patent Term Adjustment in view of Safe Harbor Statement Under 37 CFR 1_704d.pdf
Miscellaneous Forms,PTOL-413A,Applicant Initiated Interview Request Form,07/2016,,PTOL413A - Applicant Initiated Interview Request Form.pdf
Miscellaneous Forms,SB/439,Authorization for Internet Communications in a Patent Application or Request to Withdraw Authorization for Internet Communications,11/2015,,SB439 - Authorization for Internet Communications in a Patent Application or Request to Withdraw Authorization for Internet Communications.pdf
Miscellaneous Forms,AIA/440,Certification of Pro Bono Representation,11/2018,,AIA440 - Certification of Pro Bono Representation.pdf
Miscellaneous Forms,PTO-1594,Recordation Form Cover Sheet (for Trademarks ONLY),04/2018,,PTO1594 - Recordation Form Cover Sheet for Trademarks ONLY.pdf
Miscellaneous Forms,SB/2048A,Complaint Regarding Invention Promoter,01/2012,,SB2048A - Complaint Regarding Invention Promoter.pdf
